,team_id,player_id,x_loc,y_loc,radius,game_clock,shot_clock,quarter,game_id,event_id,x_loc_original,y_loc_original,speed
187,CHA,PJ Hairston,-87.988,47.271,0.000,710.580,11.600,1,21500492,1,9.477,33.799,9.257
188,CHA,Cody Zeller,-91.579,124.286,0.000,710.580,11.600,1,21500492,1,17.179,34.158,1.833
189,CHA,Kemba Walker,-125.134,204.809,0.000,710.580,11.600,1,21500492,1,25.231,37.513,11.775
190,CHA,Nicolas Batum,63.572,24.431,0.000,710.580,11.600,1,21500492,1,7.193,18.643,2.187
191,CHA,Marvin Williams,49.309,76.377,0.000,710.580,11.600,1,21500492,1,12.388,20.069,4.473
192,TOR,Jonas Valanciunas,-125.573,188.293,0.000,710.580,11.600,1,21500492,1,23.579,37.557,4.578
193,TOR,DeMar DeRozan,-72.717,14.122,0.000,710.580,11.600,1,21500492,1,6.162,32.272,14.818
194,TOR,Kyle Lowry,-136.853,234.375,0.000,710.580,11.600,1,21500492,1,28.187,38.685,14.691
195,TOR,DeMarre Carroll,91.138,29.108,0.000,710.580,11.600,1,21500492,1,7.661,15.886,4.855
196,TOR,Luis Scola,118.699,122.215,0.000,710.580,11.600,1,21500492,1,16.971,13.130,2.989
197,ball,ball,-137.999,250.683,1.934,710.580,11.600,1,21500492,1,29.818,38.800,18.893
198,TOR,Jonas Valanciunas,-126.890,189.146,0.000,710.540,11.580,1,21500492,1,23.665,37.689,3.925
199,CHA,PJ Hairston,-85.528,44.748,0.000,710.540,11.580,1,21500492,1,9.225,33.553,8.809
200,CHA,Cody Zeller,-92.098,124.796,0.000,710.540,11.580,1,21500492,1,17.230,34.210,1.819
201,CHA,Nicolas Batum,63.655,23.700,0.000,710.540,11.580,1,21500492,1,7.120,18.634,1.839
202,CHA,Marvin Williams,50.426,76.989,0.000,710.540,11.580,1,21500492,1,12.449,19.957,3.184
203,CHA,Kemba Walker,-121.270,207.595,0.000,710.540,11.580,1,21500492,1,25.510,37.127,11.910
204,TOR,DeMar DeRozan,-67.573,11.333,0.000,710.540,11.580,1,21500492,1,5.883,31.757,14.629
205,ball,ball,-132.379,256.125,0.951,710.540,11.580,1,21500492,1,30.363,38.238,19.558
206,TOR,DeMarre Carroll,89.334,28.524,0.000,710.540,11.580,1,21500492,1,7.602,16.067,4.742
207,TOR,Luis Scola,118.690,121.019,0.000,710.540,11.580,1,21500492,1,16.852,13.131,2.989
208,TOR,Kyle Lowry,-132.621,238.456,0.000,710.540,11.580,1,21500492,1,28.596,38.262,14.701
209,CHA,Marvin Williams,51.568,77.595,0.000,710.500,11.550,1,21500492,1,12.509,19.843,3.233
210,CHA,PJ Hairston,-82.429,42.151,0.000,710.500,11.550,1,21500492,1,8.965,33.243,10.109
211,CHA,Cody Zeller,-93.291,125.276,0.000,710.500,11.550,1,21500492,1,17.278,34.329,3.216
212,CHA,Kemba Walker,-117.154,210.199,0.000,710.500,11.550,1,21500492,1,25.770,36.715,12.176
213,CHA,Nicolas Batum,63.584,23.017,0.000,710.500,11.550,1,21500492,1,7.052,18.642,1.718
214,TOR,Jonas Valanciunas,-127.385,189.997,0.000,710.500,11.550,1,21500492,1,23.750,37.738,2.460
215,TOR,DeMar DeRozan,-62.822,8.752,0.000,710.500,11.550,1,21500492,1,5.625,31.282,13.516
216,TOR,Kyle Lowry,-128.290,242.040,0.000,710.500,11.550,1,21500492,1,28.954,37.829,14.052
217,TOR,DeMarre Carroll,87.517,28.019,0.000,710.500,11.550,1,21500492,1,7.552,16.248,4.714
218,TOR,Luis Scola,118.666,119.798,0.000,710.500,11.550,1,21500492,1,16.730,13.133,3.054
219,ball,ball,-127.896,259.042,0.586,710.500,11.550,1,21500492,1,30.654,37.790,13.371
220,CHA,Marvin Williams,52.393,78.414,0.000,710.460,11.530,1,21500492,1,12.591,19.761,2.906
221,CHA,PJ Hairston,-79.137,39.859,0.000,710.460,11.530,1,21500492,1,8.736,32.914,10.027
222,CHA,Cody Zeller,-94.585,125.748,0.000,710.460,11.530,1,21500492,1,17.325,34.458,3.443
223,CHA,Kemba Walker,-112.807,212.462,0.000,710.460,11.530,1,21500492,1,25.996,36.281,12.252
224,CHA,Nicolas Batum,63.369,22.383,0.000,710.460,11.530,1,21500492,1,6.988,18.663,1.674
225,ball,ball,-125.838,261.471,1.323,710.460,11.530,1,21500492,1,30.897,37.584,7.959
226,TOR,Jonas Valanciunas,-127.823,190.709,0.000,710.460,11.530,1,21500492,1,23.821,37.782,2.090
227,TOR,DeMar DeRozan,-58.151,6.471,0.000,710.460,11.530,1,21500492,1,5.397,30.815,12.995
228,TOR,Kyle Lowry,-123.944,245.694,0.000,710.460,11.530,1,21500492,1,29.319,37.394,14.195
229,TOR,DeMarre Carroll,85.715,27.732,0.000,710.460,11.530,1,21500492,1,7.523,16.429,4.563
230,TOR,Luis Scola,118.620,118.533,0.000,710.460,11.530,1,21500492,1,16.603,13.138,3.164
231,CHA,Marvin Williams,52.990,78.929,0.000,710.420,11.510,1,21500492,1,12.643,19.701,1.972
232,CHA,PJ Hairston,-75.348,37.299,0.000,710.420,11.510,1,21500492,1,8.480,32.535,11.432
233,CHA,Cody Zeller,-96.010,126.137,0.000,710.420,11.510,1,21500492,1,17.364,34.601,3.693
234,CHA,Kemba Walker,-108.497,214.625,0.000,710.420,11.510,1,21500492,1,26.213,35.850,12.056
235,CHA,Nicolas Batum,63.001,21.904,0.000,710.420,11.510,1,21500492,1,6.940,18.700,1.509
236,ball,ball,-123.386,263.337,2.002,710.420,11.510,1,21500492,1,31.084,37.339,7.704
237,TOR,Jonas Valanciunas,-128.228,191.157,0.000,710.420,11.510,1,21500492,1,23.866,37.823,1.511
